word,def
accurate,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct; conforming exactly or almost exactly to fact or to a standard or performing with total accuracy"
adapt,"adapt or conform oneself to new or different conditions; make fit for, or change to suit a new purpose"
adjust,adapt or conform oneself to new or different conditions; place in a line or arrange so as to be parallel or straight; alter or regulate so as to achieve accuracy or conform to a standard; decide how much is to be paid on an insurance claim; make correspondent or conformable
attain,"reach a point in time, or a certain state or level; find unexpectedly; to gain with effort; reach a destination, either real or abstract"
commission,a group of representatives or delegates; an official document issued by a government and conferring on the recipient the rank of an officer in the armed forces; a special group delegated to consider some matter; the act of granting authority to undertake certain functions; the act of committing a crime; a special assignment that is given to a person or group; a formal statement of a command or injunction to do something; a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary); charge with a task; place an order for; put into commission; equip for service; of ships; the state of being in good working order and ready for operation
cooperate,work together on a common enterprise of project
crisis,a crucial stage or turning point in the course of something; an unstable situation of extreme danger or difficulty
crucial,of the greatest importance; of extreme importance; vital to the resolution of a crisis; having crucial relevance
decline,"grow worse; a condition inferior to an earlier condition; a gradual falling off from a better state; go down in value; show unwillingness towards; refuse to accept; a downward slope or bend; a gradual decrease; as of stored charge or current; grow smaller; change toward something smaller or lower; go down; inflect for number, gender, case, etc."
demand,"claim as due or just; required activity; require as useful, just, or proper; a condition requiring relief; an urgent or peremptory request; ask to be informed of; lay legal claim to; request urgently and forcefully; summon to court; the ability and desire to purchase goods and services; the act of demanding"
despite,lack of respect accompanied by a feeling of intense dislike; contemptuous disregard
ensure,be careful or certain to do something; make certain of something; make certain of
evolve,work out; gain through experience; undergo development or evolution
expand,"exaggerate or make bigger; add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing; expand the influence of; extend in one or more directions; grow vigorously; become larger in size or volume or quantity; make bigger or wider in size, volume, or quantity"
facilitate,make easier; be of use; increase the likelihood of (a response)
hamper,prevent the progress or free movement of; a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner); put at a disadvantage; a basket usually with a cover
impair,make imperfect; make worse or less effective
innovate,bring something new to an environment
input,signal going into an electronic system; a statement that expresses a personal opinion or belief or adds information; any stimulating information or event; acts to arouse action; a component of production; something that goes into the production of output; enter (data or a program) into a computer
intermediate,around the middle of a scale of evaluation; act between parties with a view to reconciling differences; a substance formed during a chemical process before the desired product is obtained; lying between two extremes in time or space or state
invest,provide with power and authority; place ceremoniously or formally in an office or position; make an investment; give qualities or abilities to; furnish with power or authority; of kings or emperors
labor,a social class comprising those who do manual labor or work for wages; any piece of work that is undertaken or attempted; the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913; concluding state of pregnancy; from the onset of contractions to the birth of a child; an organized attempt by workers to improve their status by united action (particularly via labor unions) or the leaders of this movement; strive and make an effort to reach a goal; a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries; productive work (especially physical work done for wages); work hard; undergo the efforts of childbirth
output,signal that comes out of an electronic system; what is produced in a given time period; the quantity of something (as a commodity) that is created (usually within a given period of time); final product; the things produced; production of a certain amount; to create or manufacture a specific amount
recover,get or find back; recover the use of; regain or make up for; get over an illness or shock; reuse (materials from waste products); regain a former condition after a financial loss; cover anew
region,a part of an animal that has a special function or is supplied by a given artery or nerve; a knowledge domain that you are interested in or are communicating about; the extended spatial location of something; the approximate amount of something (usually used prepositionally as in `in the region of'); a large indefinite location on the surface of the Earth
statistic,a datum that can be represented numerically
unique,radically distinctive and without equal; the single one of its kind; (followed by `to') applying exclusively to a given category or condition or locality; highly unusual or rare but not the single instance
virtual,being actually such in almost every respect; existing in essence or effect though not in actual fact
withdrawal,"a method of birth control in which coitus is initiated but the penis is deliberately withdrawn before ejaculation; avoiding emotional involvement; a retraction of a previously held position; the termination of drug taking; formal separation from an alliance or federation; the act of ceasing to participate in an activity; the act of taking out money or other capital; the act of withdrawing; the act of withdrawing blood, tumors, etc."
accomplishment,an ability that has been acquired by training; the action of accomplishing something
aware,bearing in mind; attentive to; (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
carelessness,failure to act with the prudence that a reasonable person would exercise under the same circumstances; the quality of not being careful or taking pains
compound,"make more intense, stronger, or more marked; put or add together; combine so as to form a whole; mix; (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight; composed of many distinct individuals united to form a whole or colony; an enclosure of residences and other building (especially in the Orient); a whole formed by a union of two or more elements or parts; calculate principal and interest; composed of more than one part; consisting of two or more substances or ingredients or elements or parts; create by mixing or combining"
confine,"deprive of freedom; take into confinement; close in; place limits on (extent or amount or access); to close within bounds, or otherwise limit or deprive of free movement; prevent from leaving or from being removed"
diligence,persevering determination to perform a task; a diligent effort; conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
enduring,lasting a long time; patiently bearing continual wrongs or trouble
equip,provide with (something) usually for a specific purpose; provide with abilities or understanding
evident,capable of being seen or noticed; clearly revealed to the mind or the senses or judgment
foundation,education or instruction in the fundamentals of a field of knowledge; lowest support of a structure; a woman's undergarment worn to give shape to the contours of the body; the fundamental assumptions from which something is begun or developed or calculated or explained; the act of starting something for the first time; introducing something new; an institution supported by an endowment; the basis on which something is grounded
impose,impose something unpleasant; compel to behave in a certain way; impose and collect
injure,hurt the feelings of; cause injuries or bodily harm to; cause damage or affect negatively
innocent,not knowledgeable about something specified; lacking in sophistication or worldliness; completely wanting or lacking; a person who lacks knowledge of evil; free from evil or guilt; free from sin; lacking intent or capacity to injure; (used of things) lacking sense or awareness
instruct,impart skills or knowledge to; make aware of; give instructions or directions for some task
immortal,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force; a person (such as an author) of enduring fame; not subject to death
maintain,"maintain by writing regular records; have and exercise; state categorically; keep in safety and protect from harm, decay, loss, or destruction; support against an opponent; state or assert; stick to correctly or closely; supply with necessities and support; cause to continue in a certain state, position, or activity; e.g., `keep clean'; maintain for use and service"
permanence,the property of being able to exist for an indefinite duration
policy,written contract or certificate of insurance; a line of argument rationalizing the course of action of a government; a plan of action adopted by an individual or social group
precise,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct; sharply exact or accurate or delimited"
prevail,"prove superior; be valid, applicable, or true; be larger in number, quantity, power, status or importance; continue to exist; use persuasion successfully"
refine,"make more complex, intricate, or richer; reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities; improve or perfect by pruning or polishing; attenuate or reduce in vigor, strength, or intensity by polishing or purifying; make more precise or increase the discriminatory powers of; treat or prepare so as to put in a usable condition"
rely,have faith or confidence in
require,"have need of; consider obligatory; request and expect; require as useful, just, or proper; make someone do something"
resemble,appear like; be similar or bear a likeness to
resort,"have recourse to; a hotel located in a resort area; something or someone turned to for assistance or security; act of turning to for assistance; move, travel, or proceed toward some place; a frequently visited place"
select,"pick out, select, or choose from a number of alternatives; selected or chosen for special qualifications; of superior grade"
superior,having a higher rank; a combatant who is able to defeat rivals; a character or symbol set or printed or written above and immediately to one side of another character; written or printed above and to one side of another character; one of greater rank or station or quality; the largest freshwater lake in the world; the deepest of the Great Lakes; a town in northwest Wisconsin on Lake Superior across from Duluth; having an orbit farther from the sun than the Earth's orbit; of high or superior quality or performance; of or characteristic of high rank or importance; (often followed by `to') above being affected or influenced by; (sometimes followed by `to') not subject to or influenced by; the head of a religious community
sufficient,of a quantity that can fulfill a need or requirement but without being abundant
trigger,put in motion or move to act; lever that activates the firing mechanism of a gun; an act that sets in motion some course of events; a device that activates or releases or causes something to happen; release or pull the trigger on
urgently,with great urgency
abstract,not representing or imitating external reality or the objects of nature; a sketchy summary of the main points of an argument or theory; make off with belongings of others; a concept or idea not associated with any specific instance; consider a concept without thinking of a specific example; consider abstractly or theoretically; consider apart from a particular case or instance; dealing with a subject in the abstract without practical purpose or intention; existing only in the mind; separated from embodiment; give an abstract (of)
aspect,the feelings expressed on a person's face; the visual percept of a region; a distinct feature or element in a problem; a characteristic to be considered; the beginning or duration or completion or repetition of the action of a verb
assign,"decide as to where something belongs in a scheme; attribute or give; make undue claims to having; give an assignment to (a person) to a post, or assign a task to (a person); select something or someone for a specific purpose; give out; attribute or credit to; transfer one's right to"
benevolence,an act intending or showing kindness and good will; an inclination to do kind or charitable acts; disposition to do good
category,a collection of things sharing a common attribute; a general concept that marks divisions or coordinations in a conceptual scheme
clarify,"make clear and (more) comprehensible; make clear by removing impurities or solids, as by heating"
commit,"give entirely to a specific person, activity, or cause; perform an act, usually with a negative connotation; cause to be admitted; of persons to an institution; make an investment; engage in or perform; confer a trust upon"
conjure,"summon into action or bring into existence, often as if by magic; engage in plotting or enter into a conspiracy, swear together; ask for or request earnestly"
connotative,having the power of implying or suggesting something in addition to what is explicit
consequent,occurring with or following as a consequence
define,show the form or outline of; decide upon or fix definitely; determine the essential quality of; determine the nature of; give a definition for the meaning of a word
denote,have as a meaning; make known; make an announcement; be a sign or indication of
distinct,constituting a separate entity or part; recognizable; marked; clearly or sharply defined to the mind; (often followed by `from') not alike; different in nature or quality; easy to perceive; especially clearly outlined
enable,render capable or able for some task
evaluate,"form a critical opinion of; evaluate or estimate the nature, quality, ability, extent, or significance of"
exclude,put out or expel from a place; prevent from entering; shut out; prevent from entering; keep out; prevent from being included or considered or accepted; lack or fail to include
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication; in accordance with fact or the primary meaning of a term
finance,obtain or provide money for; sell or provide on credit; the branch of economics that studies the management of money and other assets; the commercial activity of providing funds and capital; the management of money and credit and banking and investments
focus,become focussed or come into focus; the concentration of attention or energy on something; direct one's attention on something; bring into focus or alignment; to converge or cause to converge; of ideas or emotions; special emphasis attached to something; a central point or locus of an infection in an organism; a point of convergence of light (or other radiation) or a point from which it diverges; put (an image) into focus; a fixed reference point on the concave side of a conic section; cause to converge on or toward a central point; maximum clarity or distinctness of an idea; maximum clarity or distinctness of an image rendered by an optical system
genre,a style of expressing yourself in writing; an expressive style of music; a class of art (or artistic endeavor) having a characteristic form or technique; a kind of literary or artistic work
objective,serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes; undistorted by emotion or personal bias; based on observable phenomena; the goal intended to be attained (and which is believed to be attainable); the lens or system of lenses in a telescope or microscope that is nearest the object being viewed; belonging to immediate experience of actual things or events; emphasizing or expressing things as perceived without distortion of personal feelings or interpretation
perceive,to become aware of through the senses; become conscious of
physical,impelled by physical force especially against resistance; according with material things or natural laws (other than those peculiar to living matter); characterized by energetic bodily activity; concerned with material things; having substance or material existence; perceptible to the senses; involving the body as distinguished from the mind or spirit; relating to the sciences dealing with matter and energy; especially physics
positive,"involving advantage or good; the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution; marked by excessive confidence; indicating existence or presence of a suspected condition or pathogen; persuaded of; very sure; of or relating to positivism; impossible to deny or disprove; having a positive charge; formally laid down or imposed; a film showing a photographic image whose tones correspond to those of the original subject; characterized by or displaying affirmation or acceptance or certainty etc.; greater than zero; reckoned, situated or tending in the direction which naturally or arbitrarily is taken to indicate increase or progress or onward motion"
range,"assign a rank or rating to; range or extend over; occupy a certain area; the limit of capability; the limits within which something can be effective; an area in which something acts or operates or has power or control:; a series of hills or mountains; feed as in a meadow or pasture; move about aimlessly or without any destination, often in search of food or employment; change or be different within limits; (mathematics) the set of values of the dependent variable for which a function is defined; a kitchen appliance used for cooking food; lay out orderly or logically in a line or as if in a line; a large tract of grassy open land on which livestock can graze; a place for shooting (firing or driving) projectiles of various kinds; a variety of different things or activities; have a range; be capable of projecting over a certain distance, as of a gun; let eat"
reluctance,a certain degree of unwillingness; (physics) opposition to magnetic flux (analogous to electric resistance)
sparingly,to a meager degree or in a meager manner
specific,a fact about some part (as opposed to general); a medicine that has a mitigating effect on a specific disease; being or affecting a disease produced by a particular microorganism or condition; used also of stains or dyes used in making microscope slides; (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique; stated explicitly or in detail; relating to or distinguishing or constituting a taxonomic species
specify,decide upon or fix definitely; determine the essential quality of; specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement; select something or someone for a specific purpose; design or destine; be specific about; define clearly
theme,(music) melodic subject of a musical composition; an essay (especially one written as an assignment); (linguistics) the form of a word after all affixes are removed; the subject matter of a conversation or discussion; a unifying idea that is a recurrent element in literary or artistic work; provide with a particular theme or motive
access,reach or gain access to; a way of entering or leaving; a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.); (computer science) the operation of reading or writing stored information; the right to enter; obtain or retrieve from a storage device; as of information on a computer; the act of approaching or entering; the right to obtain or make use of or take advantage of something (as services or membership)
acknowledge,"report the receipt of; accept (someone) to be what is claimed or accept his power and authority; express recognition of the presence or existence of, or acquaintance with; declare to be true or admit the existence or reality or truth of; express obligation, thanks, or gratitude for; accept as legally binding and valid"
aid,improve the condition of; the work of providing treatment for or attending to someone or something; give help or assistance; be of service; a person or thing that is a resource that helps make something easier or possible to do; the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose; gift of money or other material help to support a person or cause
amend,set straight or right; to make better; make amendments to
assemble,collect in one place; get people together; create by putting components or members together
anticipate,regard something as probable or likely; make a prediction about; tell in advance; be excited or anxious about; act in advance of; deal with ahead of time; realize beforehand; be a forerunner of or occur earlier than
capacity,"the amount that can be contained; an electrical phenomenon whereby an electric charge is stored; the susceptibility of something to a particular treatment; the power to learn or retain knowledge; in law, the ability to understand the facts and significance of your behavior; a specified function; capability to perform or produce; (computer science) the amount of information (in bytes) that can be stored on a disk drive; the maximum production possible; tolerance for alcohol"
comprise,form or compose; be composed of; include or contain; have as a component
conflict,"go against, as of rules and laws; an open clash between two opposing groups (or individuals); a hostile meeting of opposing military forces in the course of a war; a disagreement or argument about something important; an incompatibility of dates or events; a state of opposition between persons or ideas or interests; be in conflict; opposition between two simultaneous but incompatible feelings; opposition in a work of drama or fiction between characters or forces (especially an opposition that motivates the development of the plot)"
decade,the cardinal number that is the sum of nine and one; the base of the decimal system; a period of 10 years
diverse,distinctly dissimilar or unlike; many and different
domestic,a servant who is paid to perform menial tasks around the household; converted or adapted to domestic use; of concern to or concerning the internal affairs of a nation; of or involving the home or family; produced in a particular country; of or relating to the home
eliminate,"eliminate from the body; kill in large numbers; do away with; terminate, end, or take out; dismiss from consideration or a contest; remove (an unknown variable) from two or more equations; remove from a contest or race"
encounter,"contend against an opponent in a sport, game, or battle; come upon, as if by accident; meet with; a casual meeting with a person or thing; experience as a reaction; a hostile disagreement face-to-face; come together; a casual or unexpected convergence; be beset by; a minor short-term fight"
generation,a coming into being; the act of producing offspring or multiplying by such production; all the people living at the same time or of approximately the same age; a stage of technological development or innovation; group of genetically related organisms constituting a single step in the line of descent; the normal time between successive generations; the production of heat or electricity
hierarchy,the organization of people at different ranks in an administrative body; a series of ordered groupings of people or things within a system
integral,existing as an essential constituent or characteristic; constituting the undiminished entirety; lacking nothing essential especially not damaged; the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x); of or denoted by an integer
isolate,place or set apart; set apart from others; obtain in pure form; separate (experiences) from the emotions relating to them
military,the military forces of a nation; associated with or performed by members of the armed services as contrasted with civilians; characteristic of or associated with soldiers or the military; of or relating to the study of the principles of warfare
network,an open fabric of string or rope or wire woven together at regular intervals; (electronics) a system of interconnected electronic components or circuits; an interconnected system of things or people; a system of intersecting lines or channels; (broadcasting) a communication system consisting of a group of broadcasting stations that all transmit the same programs; communicate with and within a group
norm,a statistic describing the location of a distribution; a standard or model or pattern regarded as typical
pursue,carry out or participate in an activity; be involved in; follow in or as if in pursuit; go in search of or hunt for; carry further or advance
restrain,"prevent the action or expression of; to close within bounds, or otherwise limit or deprive of free movement; restrict (someone or something) so as to make free movement difficult; prevent (someone or something) from doing something"
revolution,a single complete turn (axial or orbital); a drastic and far-reaching change in ways of thinking and behaving; the overthrow of a government by those who are governed
symbol,something visible that by association or convention represents something else that is invisible; an arbitrary sign (written or printed) that has acquired a conventional significance
target,the location of the target that is to be hit; the goal intended to be attained (and which is believed to be attainable); a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence; a reference point to shoot at; intend (something) to move towards a certain goal; sports equipment consisting of an object set up for a marksman or archer to aim at
trend,general line of orientation; the popular taste at a given time; a general direction in which something tends to move; turn sharply; change direction abruptly; a general tendency to change (as of opinion)
version,a written communication in a second language having the same meaning as the written communication in a first language; a written work (as a novel) that has been recast in a new form; a mental representation of the meaning or significance of something; something a little different from others of the same type; an interpretation of a matter from a particular viewpoint; manual turning of a fetus in the uterus (usually to aid delivery)
via,A road way.; By the way of.
violate,"fail to agree with; be in violation of; as of rules or patterns; act in disregard of laws, rules, contracts, or promises; violate the sacred character of a place or language; destroy and strip of its possession; force (someone) to have sex against their will; destroy"
accompany,be present or associated with an event or entity; be a companion to somebody; perform an accompaniment to; go or travel along with
authority,official permission or approval; an administrative unit of government; freedom from doubt; belief in yourself and your abilities; the power or right to give orders or make decisions; an authoritative written work; an expert whose views are taken as definitive; (usually plural) persons who exercise (administrative) control over others
cite,"refer to for illustration or proof; a short note recognizing a source of information or of a quoted passage; advance evidence for; repeat a passage from; call in an official matter, such as to attend court; refer to; make reference to; commend"
compel,force somebody to do something; necessitate or exact
consent,give an affirmative reply to; respond favorably to; permission to do something
constitute,form or compose; create and charge with a task or function; set up or lay the groundwork for; to compose or represent
debate,a discussion in which reasons are advanced for and against some proposition or proposal; have an argument about something; think about carefully; weigh; the formal presentation of a stated proposition and the opposition to it (usually followed by a vote); discuss the pros and cons of an issue; argue with one another
emphasis,special importance or significance; the relative prominence of a syllable or musical note (especially with regard to stress or pitch); intensity or forcefulness of expression; special and significant stress by means of position or repetition e.g.
entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
exhibit,"to show, make visible or apparent; something shown to the public; give an exhibition of to an interested audience; walk ostentatiously; an object or statement produced before a court of law and referred to while giving evidence; show an attribute, property, knowledge, or skill"
expert,having or showing knowledge and skill and aptitude; of or relating to or requiring special knowledge to be understood; a person with special knowledge or ability who performs skillfully
feature,a prominent attribute or aspect of something; the principal (full-length) film in a program at a movie theater; (linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind; have as a feature; a special or prominent article in a newspaper or magazine; wear or display in an ostentatious or proud manner; the characteristic parts of a person's face: eyes and nose and mouth and chin; an article of merchandise that is displayed or advertised more than other articles
fragment,break or cause to break into pieces; a broken piece of a brittle artifact; an incomplete piece; a piece broken off or cut off of something else
fundamental,far-reaching and thoroughgoing in effect especially on the nature of something; being or involving basic facts or principles; the lowest tone of a harmonic series; serving as an essential component; any factor that could be considered important to the understanding of a particular business
guarantee,"give surety or assume responsibility; stand behind and guarantee the quality, accuracy, or condition of; promise to do or accomplish; a written assurance that some product or service will be provided or will meet certain specifications; make certain of; a collateral agreement to answer for the debt of another in case that person defaults; an unconditional commitment that something will happen or that something is true"
image,"an iconic mental representation; a visual representation (of an object or scene or person or abstraction) produced on a surface; a representation of a person (especially in the form of sculpture); (Jungian psychology) a personal facade that one presents to the world; a standard or typical example; imagine; conceive of; see in one's mind; language used in a figurative or nonliteral sense; (mathematics) the set of values of the dependent variable for which a function is defined; someone who closely resembles a famous person (especially an actor); render visible, as by means of MRI; the general impression that something (a person or organization or product) presents to the public"
incidence,the relative frequency of occurrence of something; the striking of a light beam on a surface
insult,"a deliberately offensive act or something producing the effect of deliberate disrespect; treat, mention, or speak to rudely; a rude expression intended to offend or hurt"
intervene,"get involved, so as to alter or hinder an action, or through force or threat of force; be placed or located between other things or extend between spaces and events; occur between other event or between certain points of time"
issue,a phenomenon that follows and is caused by some previous phenomenon; the income or profit arising from such transactions as the sale of land or other property; circulate or distribute or equip with; come out of; the act of issuing printed materials; one of a series published periodically; an opening that permits escape or release; the becoming visible; prepare and issue for public distribution or sale; supplies (as food or clothing or ammunition) issued by the government; the immediate descendants of a person; the act of providing an item for general use or for official purposes (usually in quantity); make out and issue; some situation or event that is thought about; an important question that is in dispute and must be settled; bring out an official document (such as a warrant)
justify,show to be right by providing justification or proof; adjust the spaces between words; (used of God) declare innocent; absolve from the penalty of sin
motive,"the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; a theme that is repeated or elaborated in a piece of music; impelling to action; causing or able to cause motion; a design or figure that consists of recurring shapes or colors, as in architecture or decoration"
odd,beyond or deviating from the usual or expected; of the remaining member of a pair; not divisible by two; not used up; an indefinite quantity more than that specified; not easily explained
ponder,reflect deeply on a subject
presume,"take upon oneself; act presumptuously, without permission; take to be the case or to be true; accept without verification or proof; constitute reasonable evidence for; take liberties or act with too much confidence"
propaganda,information that is spread for the purpose of promoting some cause
regulate,"restrain the emission of (sound, fluid, etc.); shape or influence; give direction to; bring into conformity with rules or principles or usage; impose regulations; fix or adjust the time, amount, degree, or rate of"
reject,refuse entrance or membership; deem wrong or inappropriate; resist immunologically the introduction of some foreign tissue or organ; refuse to accept; the person or thing that is rejected or set aside as inferior in quality; reject with contempt; dismiss from consideration or a contest; refuse to accept or acknowledge
seek,"make an effort or attempt; try to locate or discover, or try to establish the existence of; go to or towards; inquire for; the movement of a read/write head to a specific data track on a disk; try to get or reach"
